Feature,Importance
num__num_lab_procedures,0.05303027698903167
num__num_medications,0.04920333683085621
num__number_inpatient,0.040181988830323666
num__time_in_hospital,0.03865914425602333
num__discharge_disposition_id,0.0300706467631815
num__number_diagnoses,0.028090637507743665
num__num_procedures,0.027292497071902073
num__admission_type_id,0.02119998609514823
num__admission_source_id,0.018464959018009822
num__number_outpatient,0.013869590254252098
num__number_emergency,0.012585843313484252
cat__gender_Female,0.011570580213405035
cat__gender_Male,0.011426696947761066
cat__age_[60-70),0.009962539223954502
cat__age_[70-80),0.009945651046863596
cat__race_Caucasian,0.009646155729068101
cat__race_AfricanAmerican,0.008511316239799428
cat__age_[80-90),0.008225354849393499
cat__age_[50-60),0.007649579941005537
cat__insulin_Steady,0.007636995697678206
cat__insulin_No,0.006700378716079249
cat__diag_3_250,0.006518955724948612
cat__diag_2_428,0.0062838743637665725
cat__diag_1_428,0.006063169408368539
cat__diag_2_276,0.006053093457226097
cat__change_No,0.006048264730890186
cat__age_[40-50),0.005970741434971609
cat__change_Ch,0.005948493623352983
cat__glipizide_No,0.005936528563242423
cat__glipizide_Steady,0.00577024142906079
cat__diag_3_401,0.005478295462303412
cat__metformin_No,0.00544898801558215
cat__diag_2_427,0.0053982461301172405
cat__glyburide_No,0.005283600390178943
cat__diag_3_276,0.005235770969332839
cat__metformin_Steady,0.0052160094742831715
cat__diag_3_428,0.005056998129085414
cat__glyburide_Steady,0.004901680348459864
cat__insulin_Down,0.004888788928710627
cat__insulin_Up,0.004845106606422896
cat__diag_3_427,0.004651608861339183
cat__diag_1_414,0.004595417998756403
cat__pioglitazone_No,0.004371950261542747
cat__diag_2_496,0.004228929683540327
cat__pioglitazone_Steady,0.004223205109177968
cat__diag_2_250,0.004212951678205025
cat__rosiglitazone_No,0.00409740675054517
cat__rosiglitazone_Steady,0.004034633632606724
cat__diag_2_599,0.003985454756322024
cat__diag_3_414,0.003954862220313068
cat__diag_1_410,0.0038021210556591274
cat__diag_1_486,0.0037698234766497564
cat__diag_3_496,0.0037081177257488798
cat__diag_1_786,0.0035708908440400785
cat__diag_2_403,0.0035651163459857597
cat__diabetesMed_No,0.003490015874841854
cat__diabetesMed_Yes,0.0034702198501631526
cat__diag_1_427,0.003331636623766626
cat__glimepiride_No,0.003296461399814163
cat__age_[30-40),0.00326194854816805
cat__diag_1_434,0.003230516823730629
cat__diag_2_401,0.0031977275323016472
cat__glimepiride_Steady,0.0031702239159843966
cat__diag_3_403,0.0031238302758898836
cat__diag_1_491,0.003048938999556014
cat__age_[90-100),0.003033758270514219
cat__diag_2_414,0.002975072324826496
cat__diag_3_585,0.0029732904297268613
cat__diag_2_585,0.0029084601396392106
cat__diag_2_707,0.0028858587785285735
cat__diag_2_411,0.002833853795248098
cat__diag_2_250.02,0.0028199740265729724
cat__diag_3_599,0.002779869863911094
cat__diag_1_276,0.0027575493830585248
cat__diag_1_996,0.002746788483678914
cat__diag_1_682,0.002640060157007368
cat__diag_1_780,0.0026295054091505857
cat__diag_2_425,0.002527878017629197
cat__diag_1_584,0.002481556208665207
cat__diag_2_584,0.002478071593465063
cat__diag_2_250.01,0.002458898944626834
cat__diag_1_250.8,0.0024039216815834557
cat__diag_1_599,0.0023941269912124952
cat__diag_1_38,0.0023545818478407903
cat__diag_2_682,0.002320836087743974
cat__race_Unknown,0.002314832627628368
cat__diag_2_491,0.002297045030273878
cat__race_Hispanic,0.0022726676665846346
cat__diag_3_707,0.0021946265181910186
cat__diag_3_250.6,0.0021935541165877892
cat__diag_3_250.02,0.00219031706338235
cat__diag_2_285,0.0021836102367017475
cat__diag_3_272,0.002119867622990162
cat__diag_3_780,0.0021093267184670475
cat__diag_1_715,0.0020964936696150254
cat__diag_2_486,0.0020496894351122977
cat__diag_3_V45,0.002008122663193171
cat__diag_2_780,0.001995029857917601
cat__diag_1_250.6,0.0019557787321162682
cat__diag_3_285,0.0019159362323751415
cat__diag_3_425,0.0019049196148653933
cat__race_Other,0.0018041740240158821
cat__repaglinide_No,0.0017999473494913281
cat__diag_2_518,0.0017982955413747643
cat__diag_3_424,0.0017911576842437173
cat__diag_1_820,0.0017834460941336225
cat__diag_2_424,0.0017377054475913056
cat__diag_1_440,0.0016820642980713311
cat__repaglinide_Steady,0.0016686117450785372
cat__diag_3_250.01,0.001664336410586964
cat__age_[20-30),0.0016507607733098342
cat__diag_3_584,0.001642091702521334
cat__diag_1_577,0.0016265028120261015
cat__diag_1_562,0.0016019048811661953
cat__diag_1_V58,0.001592527045536443
cat__diag_1_518,0.0015885460622522259
